CMS Certification Number (CCN),Provider Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Ownership Type,Certification Date
133027,REHABILITATION HOSPITAL OF THE NORTHWEST,3372 E JENALAN AVE,-,POST FALLS,ID,83854,Kootenai,(208) 262-8700,10,For profit,01/31/2014
133028,SAINT ALPHONSUS REGIONAL REHABILITATION HOSPITAL,711 NORTH CURTIS ROAD,-,BOISE,ID,83706,Ada,(208) 605-3000,10,For profit,08/10/2019
13T002,ST. LUKE'S MAGIC VALLEY REGIONAL MEDICAL CENTER,P.O BOX 409,775 POLE LINE ROAD WEST SUITE,TWIN FALLS,ID,83301,Twin Falls,(208) 814-3725,10,Non-profit,10/01/2007
13T003,ST JOSEPH REGIONAL MEDICAL CENTER,415 SIXTH STREET,-,LEWISTON,ID,83501,Nez Perce,(208) 799-5300,10,Non-profit,02/09/2024
13T006,ST. LUKE'S REHABILITATION HOSPITAL,600 N ROBBINS ROAD,-,BOISE,ID,83701,Ada,(208) 489-4444,10,Non-profit,10/01/2014
13T018,EASTERN IDAHO REGIONAL MEDICAL CENTER,3100 CHANNING WAY,P.O. BOX 2077,IDAHO FALLS,ID,83403,Bonneville,(208) 529-7679,10,For profit,01/01/1990
13T028,PORTNEUF MEDICAL CENTER,777 HOSPITAL WAY,-,POCATELLO,ID,83201,Bannock,(208) 239-1460,10,For profit,05/10/2011
13TA01,NORTHERN IDAHO ADVANCED CARE HOSPITAL,600 NORTH CECIL ROAD,-,POST FALLS,ID,83854,Kootenai,(208) 262-2800,10,For profit,10/01/2025
143025,SCHWAB REHABILITATION HOSPITAL,1401 S CALIFORNIA AVENUE,-,CHICAGO,IL,60608,Cook,(773) 522-2010,5,Non-profit,07/01/1984
143026,SHIRLEY RYAN ABILITYLAB,355 E ERIE ST,-,CHICAGO,IL,60611,Cook,(312) 238-3305,5,Non-profit,09/01/1984
143027,MARIANJOY REHABILITATION CENTER,26W171 ROOSEVELT ROAD,-,WHEATON,IL,60187,DuPage,(630) 909-8000,5,Non-profit,07/01/1985
143028,VAN MATRE ENCOMPASS HEALTH REHABILITATION INSTITUT,950 S MULFORD RD,-,ROCKFORD,IL,61108,WINNEBAGO,(815) 381-8548,5,For profit,04/11/2002
143029,ANDERSON REHABILITATION INSTITUTE,3402 ANDERSON HEALTHCARE DR,-,EDWARDSVILLE,IL,62025,Madison,(618) 307-7900,5,For profit,08/22/2021
143030,THE REHABILITATION INSTITUTE OF SOUTHERN ILLINOIS,2351 FRANK SCOTT PARKWAY EAST,-,SHILOH,IL,62269,St. Clair,(618) 200-6762,5,For profit,03/08/2022
143031,ENCOMPASS HEALTH REHAB INSTITUTE OF LIBERTYVILLE,1201 AMERICAN WAY,-,LIBERTYVILLE,IL,60048,Lake,(847) 371-6521,5,For profit,04/13/2022
143032,THE QUAD CITIES REHABILITATION INSTITUTE,653 52ND AVE,-,MOLINE,IL,61265,Rock Island,(309) 581-3600,5,For profit,09/07/2022
14T007,AMITA SAINT JOSEPH MED CTR-JOLIET,333 N. MADISON,-,JOLIET,IL,60435,Will,(502) 596-6346,5,Non-profit,09/01/1987
14T008,GOTTLIEB MEMORIAL HOSPITAL,701 W NORTH AVE,-,MELROSE PARK,IL,60160,Cook,(708) 538-4219,5,Non-profit,07/01/2016
14T011,HERRIN HOSPITAL,HERRIN HOSPITAL,-,HERRIN,IL,62948,Williamson,(618) 942-2171,5,Non-profit,04/01/2000
14T013,CARLE HEALTH PROCTOR HOSPITAL,5409 N KNOXVILLE AVE,-,PEORIA,IL,61614,Peoria,(309) 691-1000,5,Non-profit,01/01/2024
14T015,BLESSING HOSPITAL,BROADWAY @ 11TH,-,QUINCY,IL,62305,Adams,(217) 223-8400,5,Non-profit,10/01/1985
14T029,RUSH-COPLEY MEDICAL CENTER,2000 WEST OGDEN AVE.,-,AURORA,IL,60506,Kane,(630) 978-4877,5,Non-profit,03/01/2026
14T046,SSM HEALTH GOOD SAMARITAN HOSP,1 GOOD SAMARITAN WAY,-,MOUNT VERNON,IL,62864,Jefferson,(618) 899-3197,5,Non-profit,01/01/1990
14T054,MACNEAL HOSPITAL,3249 S. OAK PARK AVE,-,BERWYN,IL,60402,Cook,(708) 783-9100,5,For profit,10/01/2015
14T065,ADVENTIST LA GRANGE MEMORIAL HOSPITAL,5101 WILLOW SPRINGS RD,-,LA GRANGE,IL,60525,Cook,(708) 245-6521,5,Non-profit,01/01/2015
14T091,CARLE FOUNDATION HOSPITAL,611 W. PARK,-,URBANA,IL,61801,Champaign,(217) 383-6423,5,Non-profit,07/01/1991
14T114,SWEDISH COVENANT HOSPITAL,SWEDISH COVENANT HOSPITAL,-,CHICAGO,IL,60625,Cook,(773) 989-6248,5,Non-profit,04/01/1984
14T116,CENTEGRA HOSPITAL - MCHENRY,4201 MEDICAL CENTER DRIVE,-,MCHENRY,IL,60050,McHenry,(815) 759-4612,5,Non-profit,07/01/2004
14T117,RESURRECTION MEDICAL CENTER - CHICAGO LLC,7435 W TALCOTT AVE,-,CHICAGO,IL,60631,Cook,(773) 990-6067,5,Non-profit,07/01/1991
14T127,BROMENN REGIONAL MEDICAL CENTER,BROMENN REGIONAL MEDICAL CENTE,-,BLOOMINGTON,IL,61702,McLean,(309) 268-1400,5,Non-profit,07/01/1993
14T135,DECATUR MEMORIAL HOSPITAL,2300 NORTH EDWARD STREET,-,DECATUR,IL,62526,Macon,(217) 876-8121,5,Non-profit,10/01/1989
14T148,MEMORIAL MEDICAL CENTER,701 N 1ST ST,-,SPRINGFIELD,IL,62781,Sangamon,(217) 757-7602,5,Non-profit,10/01/1983
14T150,UNIVERSITY OF ILLINOIS MEDICAL CENTER AT CHICAGO,1740 W. TAYLOR ST. M/C 889,-,CHICAGO,IL,60612,Cook,(312) 996-3698,5,Government,07/01/1988
14T158,MERCY HOSPITAL REHABILITATION UNIT,2525 SOUTH MICHIGAN AVE,-,CHICAGO,IL,60616,Cook,(502) 596-6346,5,Non-profit,07/01/1984
14T166,ST MARYS HOSPITAL,1800 E LAKE SHORE DR,-,DECATUR,IL,62521,Macon,(217) 464-5195,5,Non-profit,07/01/2008
14T172,ST. JAMES HOSPITAL,20201 S. CRAWFORD,-,OLYMPIA FIELDS,IL,60461,Cook,(708) 747-4000,5,Non-profit,07/01/1985
14T180,AMITA HEALTH SAINTS MARY AND ST ELIZABETH MED CTR,2233 WEST DIVISION STREET,-,CHICAGO,IL,60622,Cook,(312) 770-2268,5,Non-profit,01/01/1984
14T182,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,836 W. WELLINGTON STREET,-,CHICAGO,IL,60657,Cook,(773) 293-7523,5,Non-profit,11/01/1983
14T186,RIVERSIDE MEDICAL CENTER,350 N WALL,-,KANKAKEE,IL,60901,Kankakee,(502) 596-6346,5,Non-profit,01/01/1985
14T191,INGALLS MEMORIAL HOSPITAL,ONE INGALLS DRIVE,-,HARVEY,IL,60426,Cook,(708) 915-4686,5,Physician,01/01/1990
14T208,ADVOCATE CHRIST MEDICAL CENTER,ADVOCATE CHRIST MEDICAL CENTER,4440 WEST 95TH STREET,OAK LAWN,IL,60453,Cook,(708) 684-2000,5,Non-profit,01/01/1984
14T213,SILVER CROSS HOSPITAL,1900 SILVER CROSS BLVD.,-,NEW LENOX,IL,60451,Will,(815) 300-1100,5,Non-profit,10/01/2012
14T217,PRESENCE ST JOSEPH - ELGIN,77 N. AIRLITE STREET,-,ELGIN,IL,60123,Kane,(502) 596-6346,5,Non-profit,11/22/2000
14T223,ADVOCATE LUTHERAN GENERAL HOSPITAL,1775 WEST DEMPTER,-,PARK RIDGE,IL,60068,Cook,(847) 723-7218,5,Non-profit,06/30/1984
14T239,ROCKFORD MEMORIAL HOSPITAL,2400 NORTH ROCKTON AVENUE,-,ROCKFORD,IL,61103,Winnebago,(815) 971-5000,5,Non-profit,03/01/1984
14T252,NORTHWEST COMMUNITY HEALTHCARE,800 WEST CENTRAL ROAD,-,ARLINGTON HEIGHTS,IL,60005,Cook,(502) 596-6346,5,Non-profit,10/01/2015
14T258,ALEXIAN BROTHERS MEDICAL CENTER,800 W BIESTERFIELD RD,-,ELK GROVE VILLAGE,IL,60007,Cook,(847) 437-5500,5,Non-profit,01/01/1984
14TA13,GREATER PEORIA SPECIALTY HOSPITAL,500 W ROMEO B GARRETT AVENUE,-,PEORIA,IL,61605,Peoria,(309) 680-1500,5,Non-profit,09/01/2022
14TA15,"RUSH SPECIALTY HOSPITAL, LLC",516 S LOOMIS ST,-,CHICAGO,IL,60607,Cook,(872) 298-9199,5,For profit,12/01/2024
153025,ENCOMPASS HEALTH DEACONESS REHABILITATION HOSPITAL,9355 WARRICK TRAIL,-,NEWBURGH,IN,47630,Warrick,(812) 476-9983,5,For profit,06/08/1989
153028,REHABILITATION HOSPITAL OF INDIANA INC,4141 SHORE DR,-,INDIANAPOLIS,IN,46254,Marion,(317) 329-2000,5,Non-profit,02/10/1992
153030,SELECT MEDICAL REHABILITATION HOSPITAL AT LUTHERAN,7970 W JEFFERSON BLVD,-,FORT WAYNE,IN,46804,Allen,(260) 435-6100,5,For profit,11/22/1993
153042,LAFAYETTE REGIONAL REHABILITATION HOSPITAL,950 PARK EAST BLVD,-,LAFAYETTE,IN,47905,Tippecanoe,(765) 447-4040,5,For profit,04/18/2013
153043,COMMUNITY HEALTH NETWORK REHABILITATION HOSPITAL,7343 CLEARVISTA DRIVE,-,INDIANAPOLIS,IN,46256,Marion,(317) 585-5400,5,For profit,07/16/2013
153044,COMMUNITY HEALTH NETWORK REHABILITATION HOSP SO,607 SOUTH GREENWOOD SPRINGS DRIVE,-,GREENWOOD,IN,46143,Johnson,(317) 215-3808,5,For profit,09/18/2018
153045,POWERS HEALTH REHABILITATION CENTER,10215 BROADWAY AVENUE,-,CROWN POINT,IN,46307,Lake,(219) 661-6055,5,Non-profit,08/30/2019
153046,PAM HEALTH REHABILITATION HOSPITAL OF GREATER INDI,2101 BROADWAY STREET,-,CLARKSVILLE,IN,47129,Clark,(812) 913-6880,5,For profit,04/16/2020
153047,"REHABILITATION HOSPITAL OF NORTHERN INDIANA, LLC",4807 EDISON LAKES PARKWAY,-,MISHAWAKA,IN,46545,St. Joseph,(574) 243-7727,5,For profit,05/28/2020
153048,"INDIANAPOLIS REHABILITATION HOSPITAL, LLC",1260 CITY CENTER DRIVE,-,CARMEL,IN,46032,Hamilton,(463) 333-9110,5,For profit,03/18/2021
153049,BLOOMINGTON REGIONAL REHABILITATION HOSPITAL LLC,3050 N LINTEL DRIVE,-,BLOOMINGTON,IN,47404,Monroe,(812) 336-2815,5,For profit,12/17/2021
153050,COMMUNITY REHABILITATION HOSPITAL WEST,8920 E 56TH STREET,-,BROWNSBURG,IN,46112,Hendricks,(463) 348-7000,5,For profit,06/09/2023
15T002,METHODIST NORTHLAKE,600 GRANT ST,-,GARY,IN,46402,Lake,(219) 886-4633,5,Non-profit,01/01/1984
15T008,THE REHABILITATION CENTER AT ST. CATHERINE HOSPITA,4321 FIR STREET,-,EAST CHICAGO,IN,46312,Lake,(502) 596-6346,5,Non-profit,01/01/2002
15T010,ST VINCENT KOKOMO HOSPITAL HEALTH CENTER,1907 SYCAMORE STREET,-,KOKOMO,IN,46901,Howard,(765) 456-5210,5,Non-profit,07/01/2002
15T011,MARION ARU,441 N. WABASH AVENUE,-,MARION,IN,46952,Grant,(502) 596-6346,5,Non-profit,07/01/2005
15T021,PARKVIEW HOSPITAL,2200 RANDALLIA DRIVE,-,FORT WAYNE,IN,46805,Allen,(260) 373-3691,5,Non-profit,01/01/1984
15T023,UNION HOSPITAL,MEDICAL REHABILITATION UNIT,1606 N 7TH ST,TERRE HAUTE,IN,47804,Vigo,(812) 238-7362,5,Non-profit,09/01/1989
15T034,ST. MARY MEDICAL CENTER INC,1500 S. LAKE PARK AVENUE,-,HOBART,IN,46342,Lake,(502) 596-6346,5,Non-profit,01/01/2001
15T035,PORTER HOSPITAL,3630 WILLOWCREEK RD,-,PORTAGE,IN,46368,Porter,(219) 263-7115,5,For profit,01/01/2009
15T042,GOOD SAMARITAN HOSPITAL,520 SOUTH SEVENTH,-,VINCENNES,IN,47591,Knox,(812) 885-3601,5,Non-profit,01/01/2001
15T046,TERRE HAUTE REGIONAL HOSPITAL,3901 SOUTH 7TH STREET,-,TERRE HAUTE,IN,47802,Vigo,(812) 230-1547,5,For profit,09/01/2006
15T048,REID HOSPITAL AND HEALTH CARE SERVICES,1100 REID PARKWAY,-,RICHMOND,IN,47374,Wayne,(765) 983-3060,5,Non-profit,01/01/2003
15T058,MEMORIAL REGIONAL REHAB CENTER,615 N MICHIGAN ST,-,SOUTH BEND,IN,46601,St. Joseph,(574) 647-3083,5,Non-profit,01/01/1984
15T059,RIVERVIEW HOSPITAL,395 WESTFIELD ROAD,-,NOBLESVILLE,IN,46060,Hamilton,(502) 596-6346,5,Government,01/01/1994
15T061,DAVIESS COMMUNITY HOSPITAL,1314 E WALNUT ST,-,WASHINGTON,IN,47501,Daviess,(812) 254-2760,5,Government,01/01/2011
15T088,BENNETT REHABILITATION CENTER,2015 JACKSON STREET,-,ANDERSON,IN,46016,Madison,(765) 608-2661,5,Non-profit,06/01/1989
15T089,IU HEALTH BALL MEMORIAL HOSP,2401 UNIVERSITY AVE,CARDINAL HEALTH SYSTEM,MUNCIE,IN,47303,Delaware,(765) 747-4228,5,Non-profit,07/01/1986
15T090,FRANCISCAN HEALTH DYER/HAMMOND,5454 HOHMAN AVE,-,HAMMOND,IN,46320,Lake,(219) 932-2300,5,Non-profit,01/01/2002
15T100,ST. VINCENT EVANSVILLE,3700 WASHINGTON AVENUE,-,EVANSVILLE,IN,47750,Vanderburgh,(812) 485-5614,5,Non-profit,07/01/1999
15T109,FRANCISCAN HEALTH LAFAYETTE IRF,1701 S CREASY LANE,-,LAFAYETTE,IN,47905,Tippecanoe,(765) 446-4829,5,Non-profit,01/01/1995
15T126,FRANCISCAN ST. ANTHONY HEALTH CROWN POINT,12750 SAINT FRANCIS DRIVE,1201 S. MAIN STREET,CROWN POINT,IN,46307,Lake,(219) 738-2100,5,Non-profit,01/01/2023
15T162,FRANCISCAN HEALTH INDIANAPOLIS,8111 S EMERSON AVE,-,INDIANAPOLIS,IN,46237,Marion,(317) 528-6038,5,Non-profit,01/01/2012
163025,"MERCY REHABILITATION HOSPITAL, LLC",1401 CAMPUS DRIVE,-,CLIVE,IA,50325,Dallas,(515) 381-6519,7,Non-profit,07/24/2018
163026,EASTERN IOWA REHABILITATION HOSPITAL LLC,2801 HEARTLAND DRIVE,-,CORALVILLE,IA,52241,Johnson,(319) 645-4001,7,For profit,06/22/2020
163027,IOWA HEALTH NETWORK REHABILITATION HOSPITAL,2450 CORAL COURT,-,CORALVILLE,IA,52241,Johnson,(319) 645-3300,7,For profit,07/02/2020
16T030,MARY GREELEY MEDICAL CENTER,1111 DUFF AVENUE,-,AMES,IA,50010,Story,(515) 450-4999,7,Government,12/12/2001
16T033,GENESIS MEDICAL CENTER,1227 E. RUSHOLME ST,-,DAVENPORT,IA,52803,Scott,(563) 343-1267,7,Non-profit,07/01/1997
16T045,ST. LUKES HOSPITAL,1026 A AVENUE NE,-,CEDAR RAPIDS,IA,52402,Linn,(319) 369-8096,7,Non-profit,09/01/1985
16T064,MERCYONE NORTH IOWA MEDICAL CENTER,1000 4TH ST SW,-,MASON CITY,IA,50401,Cerro Gordo,(641) 428-6182,7,Non-profit,07/01/2002
16T067,MERCYONE WATERLOO INPATIENT PHYSICAL REHABILITATIO,3421 WEST NINTH STREET,-,WATERLOO,IA,50702,Black Hawk,(319) 272-7929,7,Non-profit,07/01/1984
16T069,MERCYONE DUBUQUE MEDICAL CENTER,250 MERCY DRIVE,-,DUBUQUE,IA,52001,Dubuque,(563) 589-8488,7,Non-profit,07/10/2000
16T079,MERCY MEDICAL CENTER - CEDAR RAPIDS,701 TENTH STREET SE,-,CEDAR RAPIDS,IA,52403,Linn,(319) 398-6712,7,Non-profit,07/01/2008
16T082,YOUNKER REHABILITATION,1200 PLEASANT ST,-,DES MOINES,IA,50309,Polk,(515) 868-7665,7,Non-profit,01/01/2006
16T089,OTTUMWA REGIONAL HEALTH CENTER,1001 PENNSYLVANIA AVENUE,-,OTTUMWA,IA,52501,Wapello,(502) 596-6346,7,For profit,04/01/2006
16T117,UNITYPOINT FINLEY HOSPITAL,350 N GRANDVIEW AVE,-,DUBUQUE,IA,52001,Dubuque,(563) 589-2642,7,Non-profit,01/01/2005
16T146,ST. LUKES REGIONAL MEDICAL CENTER,801 5TH STREET,-,SIOUX CITY,IA,51101,Woodbury,(712) 279-2114,7,Non-profit,01/01/2005
173025,"KANSAS REHABILITATION HOSPITAL, A JOINT VENTURE OF",1504 SW 8TH AVENUE,-,TOPEKA,KS,66606,Shawnee,(785) 235-6600,7,For profit,11/28/1988
173026,MIDAMERICA REHABILITATION HOSPITAL,5701 W 110TH STREET,-,OVERLAND PARK,KS,66211,Johnson,(913) 491-2400,7,For profit,06/06/1989
173028,"ASCENSION VIA CHRISTI REHABILITATION HOSPITAL, INC",1151 N ROCK ROAD,-,WICHITA,KS,67206,Sedgwick,(316) 992-7587,7,Non-profit,04/15/1992
173032,REHABILITATION HOSPITAL OF OVERLAND PARK,5100 INDIAN CREEK PARKWAY,-,OVERLAND PARK,KS,66207,Johnson,(913) 967-5223,7,For profit,03/24/2015
173033,MEADOWBROOK REHABILITATION HOSPITAL,427 WEST MAIN STREET,-,GARDNER,KS,66030,Johnson,(913) 856-8747,7,For profit,07/01/2015
173034,"JOHNSON COUNTY REHABILITATION HOSPITAL, LLC",11325 COLLEGE BOULEVARD,-,OVERLAND PARK,KS,66210,Johnson,(913) 372-7800,7,For profit,08/27/2022
173035,CLEARSKY REHABILITATION HOSPITAL OF ELWOOD ST JOS,502 ROSEPORT ROAD,-,ELWOOD,KS,66024,Doniphan,(913) 348-4453,7,For profit,01/19/2023
17R384,NEWMAN REGIONAL HEALTH,1201 W. 12TH,-,EMPORIA,KS,66801,Lyon,(620) 343-6800,7,Government,08/01/2014
17T006,MERCY HOSPITAL - PITTSBURG,1102 E. CENTENNIAL,-,PITTSBURG,KS,66762,Crawford,(502) 596-6346,7,Non-profit,10/01/2003
17T012,SALINA REGIONAL HEALTH CENTER,400 S SANTA FE,-,SALINA,KS,67402,Saline,(502) 596-6346,7,Non-profit,06/01/2004
17T013,HAYS MEDICAL CENTER,2220 CANTERBURY DRIVE,-,HAYS,KS,67601,Ellis,(785) 650-2752,7,Non-profit,07/01/2023
17T016,UKHS-ST. FRANCIS CAMPUS,1700 SW 7TH ST,-,TOPEKA,KS,66606,Shawnee,(785) 295-5454,7,Non-profit,01/01/2004
17T020,HUTCHINSON HOSPITAL CORP,1701 E. 23RD AVE.,-,HUTCHINSON,KS,67502,Reno,(502) 596-6346,7,Non-profit,07/01/1987
17T023,ST. CATHERINE HOSPITAL,401 EAST SPRUCE ST.,-,GARDEN CITY,KS,67846,Finney,(502) 596-6346,7,Non-profit,07/01/2015
17T040,KANSAS UNIVERSITY REHAB,3901 RAINBOW BOULEVARD,-,KANSAS CITY,KS,66160,Wyandotte,(913) 588-4779,7,Government,07/01/1984
17T103,NEWTON MEDICAL CENTER,600 MEDICAL CENTER DRIVE,-,NEWTON,KS,67114,Harvey,(502) 596-6346,7,Non-profit,07/01/2005
17T120,LABETTE COUNTY MEDICAL CENTER,1902 SOUTH U.S HWY 59,-,PARSONS,KS,67357,Labette,(620) 820-5146,7,Government,01/01/2018
17T123,"WESLEY MEDICAL CENTER,LLC",550 N HILLSIDE ST,-,WICHITA,KS,67214,Sedgwick,(316) 688-2000,7,For profit,10/01/2024
17T137,LAWRENCE MEMORIAL HOSPITAL,325 MAINE STREET,-,LAWRENCE,KS,66044,Douglas,(785) 505-5000,7,Government,01/15/2017
17T142,VIA CHRISTI HOSP MANHATTAN,1823 COLLEGE AVE,-,MANHATTAN,KS,66502,Riley,(502) 596-6346,7,Non-profit,04/24/2012
17T182,MENORAH MEDICAL CENTER,5721 WEST 119TH STREET,-,OVERLAND PARK,KS,66209,Johnson,(913) 498-6436,7,For profit,01/01/1997
17T185,SAINT LUKES SOUTH HOSPITAL,12300 METCALF,-,OVERLAND PARK,KS,66213,Johnson,(913) 317-7749,7,Non-profit,01/01/2007
183026,CARDINAL HILL REHABILITATION HOSPITAL,2050 VERSAILLES ROAD,-,LEXINGTON,KY,40504,Fayette,(859) 254-5701,4,Non-profit,09/01/1984
183027,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTHE,201 MEDICAL VILLAGE DRIVE,-,EDGEWOOD,KY,41017,Kenton,(859) 341-2044,4,For profit,09/14/1987
183028,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF LAKEVI,134 HEARTLAND DRIVE,-,ELIZABETHTOWN,KY,42701,Hardin,(270) 769-3100,4,For profit,12/19/1987
183029,"SMR SOUTHERN KENTUCKY, LLC DBA SOUTHERN KENTUCKY R",1300 CAMPBELL LANE,-,BOWLING GREEN,KY,42104,Warren,(270) 782-6900,4,For profit,09/09/1992
183030,GATEWAY REHABILITATION HOSPITAL,5940 MERCHANTS STREET,-,FLORENCE,KY,41042,Boone,(859) 426-2400,4,Non-profit,01/11/2001
183032,"UOFLHEALTH,FRAZIERREHABILITATIONHOSPITAL-BROWNSBOR",5000 CHAMBERLAIN LANE,-,LOUISVILLE,KY,40241,Jefferson,(502) 861-9600,4,For profit,08/03/2023
183033,BAPTIST HEALTH REHABILITATION HOSPITAL,11800 BLUEGRASS PARKWAY,-,LOUISVILLE,KY,40299,Jefferson,(502) 579-5000,4,For profit,07/10/2024
18T009,KING'S DAUGHTER MEDICAL CENTER,KINGS DAUGHTERS MEDICAL CENTER,2201 LEXINGTON AVE,ASHLAND,KY,41101,Boyd,(606) 408-5288,4,Non-profit,12/01/2015
18T018,SCR INPATIENT REHAB UNIT,222 MEDICAL CIRCLE,-,MOREHEAD,KY,40351,Rowan,(606) 783-6650,4,Government,06/26/2000
18T027,MURRAY CALLOWAY COUNTY HOSPITAL,803 POPLAR STREET,-,MURRAY,KY,42071,Calloway,(502) 596-6346,4,Non-profit,10/01/2007
18T029,HAZARD ARH REGIONAL MEDICAL CENTER,100 MEDICAL CENTER DRIVE,-,HAZARD,KY,41701,Perry,(502) 596-6346,4,Non-profit,07/01/1999
18T038,OWENSBORO HEALTH REGIONAL HOSPITAL,REGIONAL REHAB CENTER,1201 PLEASANT VALLEY RD,OWENSBORO,KY,42303,Daviess,(270) 417-3472,4,Non-profit,11/30/1990
18T040,FRAZIER REHAB INSTITUTE,220 ABRAHAM FLEXNER WAY,-,LOUISVILLE,KY,40202,Jefferson,(502) 587-4413,4,Non-profit,09/11/2017
18T044,PIKEVILLE MEDICAL CENTER,911 BYPASS RD,-,PIKEVILLE,KY,41501,Pike,(606) 218-3500,4,Non-profit,10/01/2003
18T056,METHODIST HOSPITAL,1305 N. ELM ST,-,HENDERSON,KY,42420,Henderson,(270) 827-7488,4,Non-profit,07/01/2000
18T080,BAPTIST HEALTH - CORBIN,1 TRILLIUM WAY,-,CORBIN,KY,40701,Whitley,(606) 523-8790,4,Non-profit,09/01/1992
18T093,BAPTIST HEALTH DEACONESS MADISONVILLE,900 HOSPITAL DRIVE,900 HOSPITAL DR,MADISONVILLE,KY,42431,Hopkins,(270) 825-5540,4,Non-profit,01/01/1998
18T102,LOURDES REHABILITATION CENTER,1530 LONE OAK ROAD,-,PADUCAH,KY,42003,McCracken,(270) 444-2684,4,Non-profit,10/01/1985
18T132,LAKE CUMBERLAND REGIONAL HOSPITAL,305 LANGDON STREET,-,SOMERSET,KY,42501,Pulaski,(606) 678-3311,4,For profit,09/01/1991
193028,BATON ROUGE REHAB HOSPITAL,8595 UNITED PLAZA BLVD,-,BATON ROUGE,LA,70809,East Baton Rouge,(225) 927-0567,6,For profit,06/05/1989
193031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ALEXAN,104 NORTH THIRD STREET,-,ALEXANDRIA,LA,71301,Rapides,(318) 449-1370,6,For profit,07/07/1992
193044,"NORTH OAKS REHABILITATION HOSPITAL, L L C",1900 S MORRISON BLVD,-,HAMMOND,LA,70403,Tangipahoa,(985) 542-7777,6,Government,08/24/1995
193050,TITAN REHABILITATION HOSPITAL OF ROSEPINE,8088 HAWKS RD,-,LEESVILLE,LA,71446,Vernon,(337) 462-8880,6,For profit,09/09/1998
193058,RIVERBEND REHABILITATION HOSPITAL,4310 SOUTH GRAND STREET,-,MONROE,LA,71202,Ouachita,(318) 556-8300,6,For profit,05/31/2000
193067,REHABILITATION HOSPITAL OF JENNINGS,"1 HOSPITAL DRIVE, SUITE 101",-,JENNINGS,LA,70546,Jefferson Davis,(337) 821-5353,6,Physician,07/02/2001
193069,STERLINGTON REHABILITATION HOSPITAL,"323 WEST WALNUT AVENUE, 1ST FLOOR","P O BOX 627, STERLINGTON, LA 71280",BASTROP,LA,71220,MOREHOUSE,(318) 281-4531,6,For profit,11/15/2001
193070,ACCORD REHABILITATION HOSPITAL,"59355 RIVER WEST DRIVE, SUITE 100","728 NORTH BLVD BATON ROUGE, LA 70802",PLAQUEMINE,LA,70764,IBERVILLE,(225) 687-8100,6,Non-profit,12/20/2001
193074,UNITED MEDICAL HEALTHWEST-NEW ORLEANS,"3201 WALL BLVD, STE B",-,GRETNA,LA,70056,JEFFERSON,(504) 433-5551,6,For profit,11/30/2001
193078,SAGE REHABILITATION HOSPITAL,8000 SUMMA AVE,-,BATON ROUGE,LA,70809,East Baton Rouge,(225) 819-0703,6,For profit,06/04/2002
193079,OASIS POINT REHABILITATION HOSPITAL,15261 WEST CLUB DELUXE ROAD,"200 WEST UNIVERSITY AVE, HAMMOND, LA 70401",HAMMOND,LA,70403,TANGIPAHOA,(985) 340-5998,6,For profit,06/03/2002
193080,SPECIALTY REHABILITATION HOSPITAL,"1110 RINGGOLD AVENUE, SUITE B",-,COUSHATTA,LA,71019,Red River,(318) 932-1770,6,For profit,07/16/2002
193086,LEESVILLE REHABILITATION HOSPITAL,900 SOUTH SIXTH STREET,-,LEESVILLE,LA,71446,Vernon,(337) 392-8118,6,For profit,09/25/2003
193090,"THE NEUROMEDICAL CENTER REHABILITATION HOSPITAL, L",10101 PARK ROWE AVENUE,-,BATON ROUGE,LA,70810,East Baton Rouge,(225) 906-2999,6,For profit,08/08/2005
193092,BETHESDA REHABILITATION HOSPITAL,"7414 SUMRALL DRIVE, SUITE A",-,BATON ROUGE,LA,70812,East Baton Rouge,(225) 767-2034,6,For profit,12/20/2005
193093,LAFAYETTE-AMG PHYSICAL REHABILITATION HOSPITAL,"111 REPUBLIC AVE, LAFAYETTE, LA 70508.",-,LAFAYETTE,LA,70508,Lafayette,(337) 314-1111,6,For profit,02/22/2006
193096,ACADIANA REHABILITATION,314 YOUNGSVILLE HWY,-,LAFAYETTE,LA,70508,LAFAYETTE,(337) 364-6923,6,For profit,06/01/2015
193097,COVINGTON - A M G PHYSICAL REHABILITATION HOSPITAL,5025 KEYSTONE BLVDSUITE 200,-,COVINGTON,LA,70433,St. Tammany,(985) 888-0301,6,For profit,05/10/2016
193099,OCHSNER REHABILITATION HOSPITAL,"2614 JEFFERSON HWY, 4TH AND 5TH FLOORS",-,JEFFERSON,LA,70121,Jefferson,(504) 291-5100,6,For profit,06/07/2018
19T002,LAFAYETTE GENERAL ORTHOPAEDIC HOSPITAL,2810 AMBASSADOR CAFFERY PKWY.,-,LAFAYETTE,LA,70505,Lafayette,(337) 406-4162,6,Non-profit,10/01/1985
19T004,THIBODAUX REGIONAL MEDICAL CENTER,602 NORTH ACADIA ROAD,-,THIBODAUX,LA,70301,Lafourche,(985) 493-4435,6,Non-profit,10/01/1992
