CMS Certification Number (CCN),Provider Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Ownership Type,Certification Date,Total Number of Beds
492001,LAKE TAYLOR TRANSITIONAL CARE HOSPITAL,1309 KEMPSVILLE ROAD,-,NORFOLK,VA,23502,Norfolk City,(757) 461-5001,3,Government,07/01/1966,296
492007,HOSPITAL FOR EXTENDED RECOVERY,600 GRESHAM DRIVE SUITE 700,-,NORFOLK,VA,23507,Norfolk City,(757) 388-1700,3,Non-profit,06/01/2002,35
492008,SELECT SPECIALTY HOSPITAL - HAMPTON ROADS,500 J CLYDE MORRIS BLVD - 4TH FLOOR,-,NEWPORT NEWS,VA,23601,Newport News City,(757) 534-5000,3,Non-profit,05/01/2006,25
492009,SELECT SPECIALITY HOSPITAL - RICHMOND INC,2220 EDWARD HOLLAND DRIVE,-,RICHMOND,VA,23230,Henrico,(804) 678-7000,3,For profit,05/01/2008,60
492010,CENTRA SPECIALTY HOSPITAL,"3300 RIVERMONT AVENUE, KRISE BUILDING, 5TH FLOOR",-,LYNCHBURG,VA,24503,Lynchburg City,(434) 200-1960,3,Non-profit,01/01/2008,36
492012,INOVA SPECIALTY HOSPITAL,"2501 PARKERS LANE, 4TH FLOOR",-,ALEXANDRIA,VA,22306,Fairfax,(571) 547-3600,3,For profit,04/01/2024,-
502002,KINDRED HOSPITAL-SEATTLE,1334 TERRY AVE,-,SEATTLE,WA,98101,King,(206) 364-2050,10,For profit,01/01/1995,80
512002,SELECT SPECIALTY HOSPITAL - CHARLESTON,"3200 MACCORKLE AVE SE, 3N & 3E",-,CHARLESTON,WV,25304,Kanawha,(304) 720-7234,3,Non-profit,09/01/2002,32
512003,"CORNERSTONE SPECIALTY HOSPITALS HUNTINGTON, LLC","2900 FIRST AVENUE, 2E",-,HUNTINGTON,WV,25702,Cabell,(304) 399-2600,3,For profit,11/01/2005,28
512004,SELECT SPECIALTY HOSPITAL - MORGANTOWN,"1200 JD ANDERSON DRIVE, 4TH FLOOR",-,MORGANTOWN,WV,26505,Monongalia,(304) 598-1506,3,For profit,08/01/2020,25
512005,SELECT SPECIALTY HOSPITAL - WEIRTON,601 COLLIERS WAY 9TH FLOOR,-,WEIRTON,WV,26062,Hancock,(740) 283-7497,3,For profit,04/01/2006,49
522005,LAKEVIEW SPECIALTY HOSPITAL & REHAB CENTER,1701 SHARP ROAD,-,WATERFORD,WI,53185,Racine,(262) 534-7297,5,For profit,10/01/1998,39
522006,SELECT SPECIALTY HOSPITAL MILWAUKEE,8901 W LINCOLN AVE 2ND FLOOR,-,WEST ALLIS,WI,53227,Milwaukee,(414) 328-7700,5,For profit,10/31/1999,63
522008,SELECT SPECIALTY HOSPITAL MADISON,801 BRAXTON PLACE,-,MADISON,WI,53715,Dane,(608) 260-2700,5,For profit,06/01/2007,23
